url,nome,generos,ano_formacao,anos_atividade,temas,ano_primeiro_lancamento,lancou_album_completo,gravadora_mais_recente
https://www.metal-archives.com/bands/Abjeto/3540505115,Abjeto,experimental|black,2021,"2021-2023, 2021-present",introspection|mysticism|dreams|mythology,2021,True,Unsigned/independent
https://www.metal-archives.com/bands/Ad_Inferi/3540508246,Ad Inferi,symphonic,2020,2020-present,faith,2020,False,Unsigned/independent
https://www.metal-archives.com/bands/Ad_Pestis/3540518660,Ad Pestis,black|dark|ambient,2022,"2022-2023 (as Ad Pestem), 2023-present",nyctophilia|sacrifice|chaos-gnosticism|death|worship|darkness,2023,True,Unsigned/independent
https://www.metal-archives.com/bands/Agios_Luciferi/3540518353,Agios Luciferi,black|thrash,2021,2021-present,left|hand|path|anti-cosmic|satanism,2023,True,Black Seal Productions
https://www.metal-archives.com/bands/Allen_Key/3540536716,Allen Key,heavy|groove,2018,2018-present,personal|issues|love|life,2020,True,Canil Records
https://www.metal-archives.com/bands/Ancient_Tower/3540530623,Ancient Tower,doom,2015,2015-present,nao_informado,2017,True,Unsigned/independent
https://www.metal-archives.com/bands/Anfear/3540518791,Anfear,melodic|heavy|folk,2014,2014-present,nao_informado,2016,False,Unsigned/independent
https://www.metal-archives.com/bands/Archtype/3540535246,Archtype,power,2007,"2007-2012, 2013-present (as Templomayor)",esotericism|prophecies,2023,True,Unsigned/independent
https://www.metal-archives.com/bands/Archytas/3540511762,Archytas,black,2020,2020-present,nao_informado,2021,False,Unsigned/independent
https://www.metal-archives.com/bands/Armiferum/3540514063,Armiferum,progressive|power,2020,2020-present,nao_informado,2022,True,Unsigned/independent
https://www.metal-archives.com/bands/A%C3%A7%C3%A3o_Extrema/3540531192,Ação Extrema,thrash|rac,nao_informado,nao_informado,national|socialism|hatred,2018,False,Unsigned/independent
https://www.metal-archives.com/bands/Bad_Resilience/3540550599,Bad Resilience,grindcore|noisecore,2024,2024-present,christianity,2024,True,Unsigned/independent
https://www.metal-archives.com/bands/Begotten_Terror/3540551856,Begotten Terror,death,2024,2024-present,satanism,2024,False,Unsigned/independent
https://www.metal-archives.com/bands/Black_Blood/3540562495,Black Blood,black|death,2024,2024,war|hate,2024,False,Unsigned/independent
https://www.metal-archives.com/bands/Blood_Trail/3540506496,Blood Trail,thrash,2022,2022-present,nao_informado,2022,False,Unsigned/independent
https://www.metal-archives.com/bands/Bloodchamber/3540519320,Bloodchamber,raw|black,2023,2023-?,hate|despair|misanthropy,2023,False,Unsigned/independent
https://www.metal-archives.com/bands/Blutm%C3%A4rsh/3540498538,Blutmärsh,black,2021,"2021 (as Blutmärchen), 2021 (as Blutmärsch), 2021-present",darkness|war,2021,False,Unsigned/independent
https://www.metal-archives.com/bands/Brutal_Reality/3540558411,Brutal Reality,death,2022,2022-present,social|disorder|chaos|violence,2023,True,Unsigned/independent
https://www.metal-archives.com/bands/C.R.U.E/3540492256,C.R.U.E,black|death,2008,2008-present,nao_informado,2016,False,Brazilian Ritual Records
https://www.metal-archives.com/bands/Caix%C3%A3o_Podre/3540527163,Caixão Podre,death|grindcore,2019,2019-present,nao_informado,2023,False,Unsigned/independent
https://www.metal-archives.com/bands/Carni%C3%A7a/3540514669,Carniça,death|grindcore,2021,2021-2025,gore|disease|violence,2022,False,Unsigned/independent
https://www.metal-archives.com/bands/Cascos/3540542858,Cascos,sludge|stoner|doom,2023,2023-present,nao_informado,2024,False,Unsigned/independent
https://www.metal-archives.com/bands/Cat%C3%B6lishit/3540491419,Catölishit,blackened|crust|death,2016,2016-present,human|misery|anti-government|anti-fascism|anti-religion|wasteland,2021,False,Sangue Underground Records
https://www.metal-archives.com/bands/Cold_Burial/3540534803,Cold Burial,atmospheric|black,2023,2023-present,satanism|and|stories|about|the|world,2023,True,Unsigned/independent
https://www.metal-archives.com/bands/Cold_Forest/3540537007,Cold Forest,dungeon|synth|atmospheric|black,2012,2012-2024,fantasy|medieval|themes|nature,2013,True,Unsigned/independent
https://www.metal-archives.com/bands/Col%C3%B4nia_Cratera/3540559356,Colônia Cratera,heavy|progressive|hard|rock,2016,2016-present,science|fiction,2017,False,Unsigned/independent
https://www.metal-archives.com/bands/Confessori/3540531908,Confessori,progressive|power,2016,2016-present,nao_informado,2023,False,Unsigned/independent
https://www.metal-archives.com/bands/C%C3%A3o_do_Inferno_de_Quaresma/3540509426,Cão do Inferno de Quaresma,raw|black,2022,2022-2023,nao_informado,2022,False,Unsigned/independent
https://www.metal-archives.com/bands/Dakhmas/3540560555,Dakhmas,groove|djent,2018,2018-present,nao_informado,2019,True,Unsigned/independent
https://www.metal-archives.com/bands/Damnation_City/3540500931,Damnation City,thrash|speed,2012,2012-present,death|anti-religion|society|horror,2021,False,Kill Again Records
https://www.metal-archives.com/bands/Dawn_Rovers/3540511005,Dawn Rovers,heavy|hard|rock,2012,2012-2014,nao_informado,2014,False,Unsigned/independent
https://www.metal-archives.com/bands/Dead_Tripulation/3540551211,Dead Tripulation,death,2022,2022-present,nao_informado,2024,False,Unsigned/independent
https://www.metal-archives.com/bands/Deathgod_Luciferi/3540502453,Deathgod Luciferi,raw|black,2021,2021-present,anti-christianity|anti-islam|satanism|war|nihilism,2022,True,Unsigned/independent
https://www.metal-archives.com/bands/Decatexia/3540506632,Decatexia,death|black,2017,2017-present,nao_informado,2020,False,Brutaller Records
https://www.metal-archives.com/bands/Denfire/3540515231,Denfire,thrash,2021,"2008-2021 (as Misconducters), 2021-present",individuality|personal|stuggle,2021,False,Unsigned/independent
https://www.metal-archives.com/bands/Drops_of_Fire/3540551865,Drops of Fire,thrash|power,2013,2013-present,darkness|human|issues|philosophy|ancient|rites,2013,False,Unsigned/independent
https://www.metal-archives.com/bands/Druid/3540511753,Druid,pagan|folk|death,2018,"2018-2020, 2020-present (as Upon a Frozen Shore)",nao_informado,2019,False,Unsigned/independent
https://www.metal-archives.com/bands/Dr%C3%A4kul/3540552330,Dräkul,black,2024,2024-present,war|vampirism|death,2024,True,Onlyhate Propaganda
https://www.metal-archives.com/bands/Enx%C3%B6fre/3540465010,Enxöfre,blackened|heavy,2015,2015-present,philosophy|occultism,2020,False,Cianeto Discos
https://www.metal-archives.com/bands/Evilrise/3540512836,Evilrise,death,2016,"?-2016 (as Black Terreiro), 2016-present",protest|political|hate,2022,False,In Musica Records
https://www.metal-archives.com/bands/Exist%C3%AAncia_Desperdi%C3%A7ada/3540518868,Existência Desperdiçada,black,2023,2023-?,depression|personal|issues,2023,False,Shadow Resistance Productions
https://www.metal-archives.com/bands/Fellipe_Suete/3540517566,Fellipe Suete,heavy|progressive|shred,2020,2020-present,instrumental,2020,False,Unsigned/independent
https://www.metal-archives.com/bands/Finis_Hominis/3540517120,Finis Hominis,sludge,2020,2020-present,pessimism,2022,False,Abraxas
https://www.metal-archives.com/bands/Fork_of_Horripilation/3540506417,Fork of Horripilation,black,2022,2022-present,history|paganism|the|elder|scrolls|movies|introspection,2022,True,Canti Eretici
https://www.metal-archives.com/bands/Forlorn_Verdant/3540555102,Forlorn Verdant,black,2024,2024-present,nature|forests,2024,False,Misanthropic Impalement
https://www.metal-archives.com/bands/Freak_Maniacs/3540500643,Freak Maniacs,goregrind,2021,2021-present,nao_informado,2022,False,Unsigned/independent
https://www.metal-archives.com/bands/Frosted_Mind/3540493964,Frosted Mind,symphonic|black,2010,2010-2012,horror|occult,2012,False,Unsigned/independent
https://www.metal-archives.com/bands/Funeral_Rites/3540526658,Funeral Rites,black|doom,1994,1994-?,nao_informado,sem_lancamento,False,Unsigned/independent
